"Country","tests_volume_indicator","gdp_per_capita","Continent","CEO2023","WHO2000","democracy_index","corruption_index","year"
"Afghanistan",NA,355.777826392648,"Eastern Mediterranean Region (EMR)",NA,0.325,0.32,16,"2021"
"Albania",0.404067971163749,6377.20309553753,"European Region (EUR)",48.86,0.774,6.11,35,"2021"
"Algeria",NA,3700.31469728198,"African Region (AFR)",NA,0.701,3.77,35,"2021"
"American Samoa",NA,16653.7137781725,"Other",NA,NA,NA,NA,"2021"
"Andorra",1.91574025974026,42072.3194231234,"European Region (EUR)",NA,0.982,NA,NA,"2021"
"Angola",NA,1927.47407832091,"African Region (AFR)",NA,0.275,3.37,26,"2021"
"Antigua and Barbuda",NA,17178.5437160522,"Region of the Americas (AMR)",NA,0.688,NA,NA,"2021"
"Arab World",NA,6419.16102913915,"Other",NA,NA,NA,NA,"2021"
"Argentina",0.512792851853465,10650.8604604345,"Region of the Americas (AMR)",50.04,0.722,6.81,45,"2021"
"Armenia",0.673255782312925,4972.78320361917,"European Region (EUR)",48.71,0.63,5.49,42,"2021"
"Aruba",NA,29127.7593841909,"Other",NA,NA,NA,NA,"2021"
"Australia",1.71057646921369,60697.2454358579,"Western Pacific Region (WPR)",57.77,0.876,8.9,77,"2021"
"Austria",13.561457213818,53517.8904509612,"European Region (EUR)",54.69,0.959,8.07,77,"2021"
"Azerbaijan",NA,5408.04535175023,"European Region (EUR)",48.66,0.626,2.68,30,"2021"
"Bahamas",NA,28260.4325506367,"Region of the Americas (AMR)",NA,0.657,NA,64,"2021"
"Bahrain",3.23357970183486,26850.0033915702,"Eastern Mediterranean Region (EMR)",52.83,0.824,2.52,42,"2021"
"Bangladesh",0.0482071137026239,2457.92403936141,"South-East Asian Region (SEAR)",45.39,0.675,5.99,26,"2021"
"Barbados",NA,17507.4679943101,"Region of the Americas (AMR)",NA,0.808,NA,62,"2021"
"Belarus",0.763640196392358,7489.71894713888,"European Region (EUR)",48.62,0.723,2.41,45,"2021"
"Belgium",1.75671776344086,51850.3971840229,"European Region (EUR)",53.99,0.915,7.51,75,"2021"
